,restaurante,seccion,platos,precios,platos_lower,seccion_lower,Categorias
11,Bazaar,Para entrar con buen pie,Ensalada de algas marinas con atún y sésamo,"8,95 €",ensalada de algas marinas con atún y sésamo,para entrar con buen pie,Ensalada
12,Bazaar,Para entrar con buen pie,Verdura a la plancha con romesco de nueces,"8,9 €",verdura a la plancha con romesco de nueces,para entrar con buen pie,None
13,Bazaar,Para entrar con buen pie,"Nuestra ensalada especial de huevo pochê con bacon, vinagreta y olivada casera","8,95 €","nuestra ensalada especial de huevo pochê con bacon, vinagreta y olivada casera",para entrar con buen pie,Ensalada
14,Bazaar,Nuestras pastas y arroces,Macarrones con boloñesa vegana Coreana de shitake y ajetes frescos,"7,85 €",macarrones con boloñesa vegana coreana de shitake y ajetes frescos,nuestras pastas y arroces,Arroces
15,Bazaar,Nuestras pastas y arroces,"Yakisoba de calamar, gambitas, verduras wok y katsoubushi","9,85 €","yakisoba de calamar, gambitas, verduras wok y katsoubushi",nuestras pastas y arroces,Arroces
16,Bazaar,Nuestras pastas y arroces,Spaghetti con salsa de gambas picante,"8,85 €",spaghetti con salsa de gambas picante,nuestras pastas y arroces,Arroces
17,Bazaar,Nuestras pastas y arroces,Risotto de setas con queso parmesano,"9,35 €",risotto de setas con queso parmesano,nuestras pastas y arroces,Arroces
18,Bazaar,Carnes con carácter...,Tiras de pollo crispie con dos salsas,"8,3 €",tiras de pollo crispie con dos salsas,carnes con carácter...,Pollo
19,Bazaar,Carnes con carácter...,Pollo al curry con fideos sothangon,"9,9 €",pollo al curry con fideos sothangon,carnes con carácter...,Pollo
20,Bazaar,Carnes con carácter...,Hamburguesa de ternera con camembert y cebolla bien caramelizada,"10,6 €",hamburguesa de ternera con camembert y cebolla bien caramelizada,carnes con carácter...,Hamburguesa
21,Bazaar,Carnes con carácter...,Canelón de carrillada de ternera al Pedro Ximénez,"11,15 €",canelón de carrillada de ternera al pedro ximénez,carnes con carácter...,Carne
22,Bazaar,Carnes con carácter...,"Lomo de ternera con salsa de vino, setas y parmentier de patata","11,6 €","lomo de ternera con salsa de vino, setas y parmentier de patata",carnes con carácter...,Carne
23,Bazaar,Carnes con carácter...,"Buey tierno con parmesano, rúcula, cebolla asada y vinagreta balsámica","11,85 €","buey tierno con parmesano, rúcula, cebolla asada y vinagreta balsámica",carnes con carácter...,Carne
24,Bazaar,Carnes con carácter...,Las tres carnes braseadas con fideos Thai,"11,95 €",las tres carnes braseadas con fideos thai,carnes con carácter...,None
25,Bazaar,Carnes con carácter...,Salsa a elegir: pimienta verde o quesos,1 €,salsa a elegir: pimienta verde o quesos,carnes con carácter...,None
26,Bazaar,Productos del mar...,Pulpitos encebollados sobre patatas confitadas,"10,95 €",pulpitos encebollados sobre patatas confitadas,productos del mar...,None
27,Bazaar,Productos del mar...,Bacalao gratinado con ali-oli de pera,"12,65 €",bacalao gratinado con ali-oli de pera,productos del mar...,None
28,Bazaar,Productos del mar...,"Tataki de atún con tartar de mango, tomate, cilantro y siracha","11,85 €","tataki de atún con tartar de mango, tomate, cilantro y siracha",productos del mar...,Postres
29,Bazaar,Productos del mar...,"Salmón a la plancha con trompetas de los muertos, calabacines, ajetes y sal de curri","12,9 €","salmón a la plancha con trompetas de los muertos, calabacines, ajetes y sal de curri",productos del mar...,Pescado
30,Bazaar,Productos del mar...,Bacalao confitado con aceite de ajo y sepia,"12,85 €",bacalao confitado con aceite de ajo y sepia,productos del mar...,Pescado
31,Bazaar,Postre,Mini fondue de chocolate con brochetas de frutas frescas,"4,75 €",mini fondue de chocolate con brochetas de frutas frescas,postre,Postres
32,Bazaar,Postre,Sorbete de limón (con cava +1€),"4,9 €",sorbete de limón (con cava +1€),postre,Postres
33,Bazaar,Postre,"Copa mango, mango y mas mango con lima crispie","5,5 €","copa mango, mango y mas mango con lima crispie",postre,Postres
34,Bazaar,Postre,Tarta al chocolate al estilo del señor Patubo,"4,6 €",tarta al chocolate al estilo del señor patubo,postre,Postres
35,Bazaar,Postre,Pastel de nueces con chocolate caliente,"4,95 €",pastel de nueces con chocolate caliente,postre,Postres
36,Bazaar,Postre,Tarta Sacher con chocolate caliente,"5,35 €",tarta sacher con chocolate caliente,postre,Postres
37,Bazaar,Postre,Los íssimos del Bazaar,"5,1 €",los íssimos del bazaar,postre,Postres
38,Bazaar,Postre,Tarta de mascarpone con fresas y helado de cacao,"5,25 €",tarta de mascarpone con fresas y helado de cacao,postre,Postres
39,Bazaar,Postre,Tarta de queso al coulis de fruta,"5,35 €",tarta de queso al coulis de fruta,postre,Postres
40,Bazaar,Postre,Chocolatísimo,"5,2 €",chocolatísimo,postre,Postres
41,Bazaar,seccion_bebidas,Café,2 €,café,seccion_bebidas,None
42,Bazaar,seccion_bebidas,Media botella de agua,"2,2 €",media botella de agua,seccion_bebidas,None
43,Bazaar,seccion_bebidas,Botella de vino,14 €,botella de vino,seccion_bebidas,None
44,Bazaar,seccion_bebidas,Copa de vino,"2,5 €",copa de vino,seccion_bebidas,None
0,Boho Bar,Compartir... o no?,"May (1 ud) Empanada colombiana, pollo desmechado y ketchup vietnamita","5,2 €","may (1 ud) empanada colombiana, pollo desmechado y ketchup vietnamita",compartir... o no?,Pollo
1,Boho Bar,Compartir... o no?,"Tequeños (4 uds.) Barritas de queso fundido, mojo canario","8,9 €","tequeños (4 uds.) barritas de queso fundido, mojo canario",compartir... o no?,None
2,Boho Bar,Compartir... o no?,Croquetas (8 uds.) Jamón en panko japonés,"9,5 €",croquetas (8 uds.) jamón en panko japonés,compartir... o no?,Entrantes
3,Boho Bar,Compartir... o no?,"Lomitos de Sardinas Ahumadas (4 uds.) Pan horneado, crema de salmorejo","9,9 €","lomitos de sardinas ahumadas (4 uds.) pan horneado, crema de salmorejo",compartir... o no?,Pescado
4,Boho Bar,Compartir... o no?,Burrata con tartar de tomate y pesto Rosso,"12,5 €",burrata con tartar de tomate y pesto rosso,compartir... o no?,Postres
5,Boho Bar,Compartir... o no?,"Gyozas Hokkaido (6 uds.) Langostinos, verduras y Salasa Yakiniku","10,5 €","gyozas hokkaido (6 uds.) langostinos, verduras y salasa yakiniku",compartir... o no?,Marisco
6,Boho Bar,Compartir... o no?,"Pinchos Morunos Ras al Hanut (4 uds.) Pollo, Mojo verde, siracha, yogurt y menta","12,5 €","pinchos morunos ras al hanut (4 uds.) pollo, mojo verde, siracha, yogurt y menta",compartir... o no?,Postres
